INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('242565116', 'Thurston', 'Tumwater', 'WA', '98512', '2019', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '220', '0', '22', 'PUGET SOUND ENERGY INC', '53067010910', '-122.9131017', '47.0135926')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('183272785', 'Island', 'Clinton', 'WA', '98236', '2022', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Eligibility unknown as battery range has not been researched', '0', '0', '10', 'PUGET SOUND ENERGY INC', '53029972000', '-122.359364', '47.9796552')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('112552366', 'Snohomish', 'Snohomish', 'WA', '98290', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '266', '0', '44', 'PUGET SOUND ENERGY INC', '53061052502', '-122.091505', '47.915555')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('6336319', 'King', 'Seattle', 'WA', '98134', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '322', '0', '11', 'CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)', '53033009300', '-122.329815', '47.57981')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('186212960', 'Snohomish', 'Edmonds', 'WA', '98020', '2013', 'TESLA', 'MODEL S', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '208', '69900', '21', 'PUGET SOUND ENERGY INC', '53061050403', '-122.37507', '47.80807')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('215122904', 'Chelan', 'Manson', 'WA', '98831', '2018', 'BMW', 'I3', 'Plug-in Hybrid Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '97', '0', '12', 'PUD NO 1 OF CHELAN COUNTY', '53007960400', '-120.1531', '47.885505')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('110992472', 'Snohomish', 'Marysville', 'WA', '98271', '2020', 'TESLA', 'MODEL 3', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '308', '0', '38', 'PUGET SOUND ENERGY INC', '53061053102', '-122.1713847', '48.10433')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('138909032', 'Snohomish', 'Edmonds', 'WA', '98026', '2021', 'AUDI', 'Q5 E', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '18', '0', '21', 'PUGET SOUND ENERGY INC', '53061050300', '-122.335685', '47.80372')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('272310279', 'Thurston', 'Olympia', 'WA', '98501', '2019', 'TOYOTA', 'PRIUS PRIME', 'Plug-in Hybrid Electric Vehicle   ', 'Not eligible due to low battery range', '25', '0', '22', 'PUGET SOUND ENERGY INC', '53067010700', '-122.89692', '47.043535')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('235573929', 'Thurston', 'Lacey', 'WA', '98503', '2018', 'NISSAN', 'LEAF', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '151', '0', '22', 'PUGET SOUND ENERGY INC', '53067011422', '-122.8285', '47.03646')
INSERT INTO carInfo (dol, county, city, state, postal_code, model_year, make, model, ev_type, cafv, electric_range, base_msrp, district_num, electric_util_desc, census_2020_tract, longitude, latitude) VALUES ('100808571', 'Thurston', 'Olympia', 'WA', '98501', '2019', 'KIA', 'NIRO', 'Battery Electric Vehicle   ', 'Clean Alternative Fuel Vehicle Eligible', '239', '0', '22', 'PUGET SOUND ENERGY INC', '53067010700', '-122.89692', '47.043535')
