DOL ,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Base MSRP,Legislative District,Electric Utility,2020 Census Tract,Longitude,latitude
242565116,Thurston,Tumwater,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,22,PUGET SOUND ENERGY INC,53067010910,-122.9131017,47.0135926
183272785,Island,Clinton,WA,98236,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,PUGET SOUND ENERGY INC,53029972000,-122.359364,47.9796552
112552366,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,44,PUGET SOUND ENERGY INC,53061052502,-122.091505,47.915555
6336319,King,Seattle,WA,98134,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,11,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300,-122.329815,47.57981
186212960,Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,21,PUGET SOUND ENERGY INC,53061050403,-122.37507,47.80807
215122904,Chelan,Manson,WA,98831,2018,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,97,0,12,PUD NO 1 OF CHELAN COUNTY,53007960400,-120.1531,47.885505
110992472,Snohomish,Marysville,WA,98271,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,308,0,38,PUGET SOUND ENERGY INC,53061053102,-122.1713847,48.10433
138909032,Snohomish,Edmonds,WA,98026,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,21,PUGET SOUND ENERGY INC,53061050300,-122.335685,47.80372
272310279,Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,22,PUGET SOUND ENERGY INC,53067010700,-122.89692,47.043535
235573929,Thurston,Lacey,WA,98503,2018,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,151,0,22,PUGET SOUND ENERGY INC,53067011422,-122.8285,47.03646
100808571,Thurston,Olympia,WA,98501,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,22,PUGET SOUND ENERGY INC,53067010700,-122.89692,47.043535
103095842,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,1,PUGET SOUND ENERGY INC,53061051937,-122.179458,47.802589
3267771,King,Seattle,WA,98146,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000,-122.355145,47.505655
2039698,Kitsap,Hansville,WA,98340,2017,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,97,0,23,PUGET SOUND ENERGY INC,53035090101,-122.57781,47.903975
326547609,Snohomish,Edmonds,WA,98020,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,21,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
337501195,Snohomish,Woodway,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,32,PUGET SOUND ENERGY INC,53061050600,-122.37507,47.80807
202801616,Yakima,Naches,WA,98937,2016,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,14,PACIFICORP,53077003002,-120.69918,46.7305
475574935,Chelan,Cashmere,WA,98815,2018,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,151,0,12,PUD NO 1 OF CHELAN COUNTY,53007960501,-120.4687,47.5173233
109167621,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,1,PUGET SOUND ENERGY INC,53061052009,-122.1873,47.820245
111617271,Thurston,Tumwater,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,35,PUGET SOUND ENERGY INC,53067011720,-122.89692,47.043535
170340453,Snohomish,Lake Stevens,WA,98258,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,44,PUGET SOUND ENERGY INC,53061052607,-122.112065,48.004345
180396618,Kitsap,Port Orchard,WA,98366,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,26,PUGET SOUND ENERGY INC,53035092600,-122.639265,47.5373
476016901,Snohomish,Monroe,WA,98272,2016,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,200,0,39,PUGET SOUND ENERGY INC,53061052207,-121.972215,47.85674
245794965,Kitsap,Port Orchard,WA,98366,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,26,PUGET SOUND ENERGY INC,53035092300,-122.639265,47.5373
8593350,Kitsap,Bremerton,WA,98310,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,23,PUGET SOUND ENERGY INC,53035080400,-122.611365,47.575195
